slug,country,iso,url,language,instrument,category,requires_headless,content_type,issue_ref,notes,status
georgia,Georgia,GEO,,,,unknown,false,html,,WHO member placeholder,pending
germany,Germany,DEU,,,,unknown,false,html,,WHO member placeholder,done
ghana,Ghana,GHA,,,,unknown,false,html,,WHO member placeholder,pending
gibraltar,Gibraltar,GIB,,,,unknown,false,html,,WHO member placeholder,pending
greece,Greece,GRC,,,,unknown,false,html,,WHO member placeholder,done
greenland,Greenland,GRL,,,,unknown,false,html,,WHO member placeholder,pending
grenada,Grenada,GRD,,,,unknown,false,html,,WHO member placeholder,pending
guadeloupe,Guadeloupe,GLP,,,,unknown,false,html,,WHO member placeholder,pending
guam,Guam,GUM,,,,unknown,false,html,,WHO member placeholder,pending
guatemala,Guatemala,GTM,,,,unknown,false,html,,WHO member placeholder,pending
guernsey,Guernsey,GGY,,,,unknown,false,html,,WHO member placeholder,pending
guinea,Guinea,GIN,,,,unknown,false,html,,WHO member placeholder,pending
guinea-bissau,Guinea-Bissau,GNB,,,,unknown,false,html,,WHO member placeholder,pending
guyana,Guyana,GUY,,,,unknown,false,html,,WHO member placeholder,pending
haiti,Haiti,HTI,,,,unknown,false,html,,WHO member placeholder,pending
heard_island_and_mcdonald_islands,Heard Island and McDonald Islands,HMD,,,,unknown,false,html,,WHO member placeholder,pending
honduras,Honduras,HND,,,,unknown,false,html,,WHO member placeholder,pending
hong_kong,Hong Kong,HKG,,,,unknown,false,html,,WHO member placeholder,pending
hungary,Hungary,HUN,,,,unknown,false,html,,WHO member placeholder,pending
iceland,Iceland,ISL,,,,unknown,false,html,,WHO member placeholder,pending
india,India,IND,,,,unknown,false,html,,WHO member placeholder,done
indonesia,Indonesia,IDN,,,,unknown,false,html,,WHO member placeholder,done
iran,Iran,IRN,,,,unknown,false,html,,WHO member placeholder,done
iraq,Iraq,IRQ,,,,unknown,false,html,,WHO member placeholder,pending
ireland,Ireland,IRL,,,,unknown,false,html,,WHO member placeholder,pending
isle_of_man,Isle of Man,IMN,,,,unknown,false,html,,WHO member placeholder,pending
israel,Israel,ISR,,,,unknown,false,html,,WHO member placeholder,done
italy,Italy,ITA,,,,unknown,false,html,,WHO member placeholder,done
ivory_coast,Ivory Coast,CIV,,,,unknown,false,html,,WHO member placeholder,pending
jamaica,Jamaica,JAM,,,,unknown,false,html,,WHO member placeholder,done
japan,Japan,JPN,,,,unknown,false,html,,WHO member placeholder,done
jersey,Jersey,JEY,,,,unknown,false,html,,WHO member placeholder,pending
jordan,Jordan,JOR,,,,unknown,false,html,,WHO member placeholder,pending
kazakhstan,Kazakhstan,KAZ,,,,unknown,false,html,,WHO member placeholder,pending
kenya,Kenya,KEN,,,,unknown,false,html,,WHO member placeholder,pending
kiribati,Kiribati,KIR,,,,unknown,false,html,,WHO member placeholder,pending
kosovo,Kosovo,UNK,,,,unknown,false,html,,WHO member placeholder,todo
